"21 Hungarian Dances (Piano), WoO 1 (Brahms, Johannes)","2","Category:Brahms, Johannes","http://imslp.org/wiki/21_Hungarian_Dances_(Piano),_WoO_1_(Brahms,_Johannes)"
"Piano Concerto No.1, Op.15 (Brahms, Johannes)","2","Category:Brahms, Johannes","http://imslp.org/wiki/Piano_Concerto_No.1,_Op.15_(Brahms,_Johannes)"
"Piano Concerto No.2, Op.83 (Brahms, Johannes)","2","Category:Brahms, Johannes","http://imslp.org/wiki/Piano_Concerto_No.2,_Op.83_(Brahms,_Johannes)"
"Piano Quartet No.1, Op.25 (Brahms, Johannes)","2","Category:Brahms, Johannes","http://imslp.org/wiki/Piano_Quartet_No.1,_Op.25_(Brahms,_Johannes)"
"Piano Quartet No.2, Op.26 (Brahms, Johannes)","2","Category:Brahms, Johannes","http://imslp.org/wiki/Piano_Quartet_No.2,_Op.26_(Brahms,_Johannes)"
"Piano Quartet No.3, Op.60 (Brahms, Johannes)","2","Category:Brahms, Johannes","http://imslp.org/wiki/Piano_Quartet_No.3,_Op.60_(Brahms,_Johannes)"
"Piano Quintet, Op.34 (Brahms, Johannes)","2","Category:Brahms, Johannes","http://imslp.org/wiki/Piano_Quintet,_Op.34_(Brahms,_Johannes)"
"Piano Sonata No.1, Op.1 (Brahms, Johannes)","2","Category:Brahms, Johannes","http://imslp.org/wiki/Piano_Sonata_No.1,_Op.1_(Brahms,_Johannes)"
"Piano Sonata No.2, Op.2 (Brahms, Johannes)","2","Category:Brahms, Johannes","http://imslp.org/wiki/Piano_Sonata_No.2,_Op.2_(Brahms,_Johannes)"
"Piano Sonata No.3, Op.5 (Brahms, Johannes)","2","Category:Brahms, Johannes","http://imslp.org/wiki/Piano_Sonata_No.3,_Op.5_(Brahms,_Johannes)"
"Piano Trio No.1, Op.8 (Brahms, Johannes)","2","Category:Brahms, Johannes","http://imslp.org/wiki/Piano_Trio_No.1,_Op.8_(Brahms,_Johannes)"
"Piano Trio No.2, Op.87 (Brahms, Johannes)","2","Category:Brahms, Johannes","http://imslp.org/wiki/Piano_Trio_No.2,_Op.87_(Brahms,_Johannes)"
"Piano Trio No.3, Op.101 (Brahms, Johannes)","2","Category:Brahms, Johannes","http://imslp.org/wiki/Piano_Trio_No.3,_Op.101_(Brahms,_Johannes)"
"Sonata for 2 Pianos, Op.34b (Brahms, Johannes)","2","Category:Brahms, Johannes","http://imslp.org/wiki/Sonata_for_2_Pianos,_Op.34b_(Brahms,_Johannes)"
"Symphony No.1, Op.68 (Brahms, Johannes)","2","Category:Brahms, Johannes","http://imslp.org/wiki/Symphony_No.1,_Op.68_(Brahms,_Johannes)"
"Symphony No.2, Op.73 (Brahms, Johannes)","2","Category:Brahms, Johannes","http://imslp.org/wiki/Symphony_No.2,_Op.73_(Brahms,_Johannes)"
"Symphony No.3, Op.90 (Brahms, Johannes)","2","Category:Brahms, Johannes","http://imslp.org/wiki/Symphony_No.3,_Op.90_(Brahms,_Johannes)"
"Symphony No.4, Op.98 (Brahms, Johannes)","2","Category:Brahms, Johannes","http://imslp.org/wiki/Symphony_No.4,_Op.98_(Brahms,_Johannes)"
